# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
116 -0.07637779414653778 -0.16558054089546204 1.0516653060913086 255 255 255 1.0 4 115
117 -0.135452538728714 -0.1721876561641693 1.095903992652893 255 255 255 1.0 4 116
118 0.08797051757574081 -0.16206595301628113 1.027442455291748 255 255 255 1.0 4 117
119 -0.14229343831539154 -0.17183955013751984 1.1009770631790161 255 255 255 1.0 4 118
120 -0.19793619215488434 -0.17853257060050964 1.1454944610595703 255 255 255 1.0 4 119
121 -0.20801490545272827 -0.1786586493253708 1.1542878150939941 255 255 255 1.0 4 120
122 -0.24188624322414398 -0.18289747834205627 1.1847162246704102 255 255 255 1.0 4 121
123 -0.11464862525463104 -0.166402205824852 1.0782525539398193 255 255 255 1.0 4 122
124 -0.024384282529354095 -0.15485426783561707 1.0030713081359863 255 255 255 1.0 4 123 4 126
125 -0.21294794976711273 -0.1774815022945404 1.1589081287384033 255 255 255 1.0 4 124
126 -0.20959173142910004 -0.17737135291099548 1.1583082675933838 255 255 255 1.0 4 125
127 0.19802118837833405 -0.16609898209571838 1.0827300548553467 255 255 255 1.0 4 123 4 126
128 0.1064223125576973 -0.15697313845157623 1.0244742631912231 255 255 255 1.0 4 127
129 0.19801047444343567 -0.16544371843338013 1.0827142000198364 255 255 255 1.0 4 128
130 0.23942041397094727 -0.1692074090242386 1.1070722341537476 255 255 255 1.0 4 129
131 0.241367906332016 -0.1689489185810089 1.1052695512771606 255 255 255 1.0 4 130
132 -0.21259774267673492 -0.1759040355682373 1.15916109085083 255 255 255 1.0 4 131
133 0.1602674424648285 -0.16205275058746338 1.0619056224822998 255 255 255 1.0 4 132
134 0.008633308112621307 -0.15104615688323975 0.9922732710838318 255 255 255 1.0 4 133
135 0.2235850989818573 -0.16742123663425446 1.1001253128051758 255 255 255 1.0 4 134
136 -0.14611798524856567 -0.16619783639907837 1.103611707687378 255 255 255 1.0 4 135
137 -0.2606232166290283 -0.17951911687850952 1.1962604522705078 255 255 255 1.0 4 136
138 -0.14452284574508667 -0.1659153252840042 1.1032360792160034 255 255 255 1.0 4 137
139 -0.25848332047462463 -0.17923445999622345 1.1960430145263672 255 255 255 1.0 4 138
140 -0.1875223070383072 -0.16983260214328766 1.1332770586013794 255 255 255 1.0 4 139
141 0.025351742282509804 -0.1493953913450241 0.9914576411247253 255 255 255 1.0 4 140
142 -0.14656192064285278 -0.16471125185489655 1.1039608716964722 255 255 255 1.0 4 141
143 0.11402057856321335 -0.1534326672554016 1.0246639251708984 255 255 255 1.0 4 142
144 0.17076335847377777 -0.15804947912693024 1.0597164630889893 255 255 255 1.0 4 143
145 0.1697593778371811 -0.15772923827171326 1.060469388961792 255 255 255 1.0 4 144
146 0.20625275373458862 -0.16091863811016083 1.081953525543213 255 255 255 1.0 4 145
147 -0.18885685503482819 -0.16724319756031036 1.134036898612976 255 255 255 1.0 4 146
148 -0.18721096217632294 -0.16718444228172302 1.1336941719055176 255 255 255 1.0 4 147
149 -0.1481536626815796 -0.16244767606258392 1.1015263795852661 255 255 255 1.0 4 148
150 0.20140878856182098 -0.16057510673999786 1.0848838090896606 255 255 255 1.0 4 149
151 0.24131111800670624 -0.16397498548030853 1.1106845140457153 255 255 255 1.0 4 150
152 -0.22088183462619781 -0.16970860958099365 1.157647967338562 255 255 255 1.0 4 151
153 0.24058470129966736 -0.1638907790184021 1.112568736076355 255 255 255 1.0 4 152
154 -0.14086514711380005 -0.159457728266716 1.0929559469223022 255 255 255 1.0 4 153
155 0.0057925814762711525 -0.14429135620594025 0.9848122596740723 255 255 255 1.0 4 154
156 0.08715051412582397 -0.1510365605354309 1.030635952949524 255 255 255 1.0 4 155
157 -0.21045975387096405 -0.16658923029899597 1.1452723741531372 255 255 255 1.0 4 156
158 0.20630207657814026 -0.1585557758808136 1.0848121643066406 255 255 255 1.0 4 157
159 0.2169228345155716 -0.15886196494102478 1.0862584114074707 255 255 255 1.0 4 158
160 -0.14443103969097137 -0.15770427882671356 1.0934484004974365 255 255 255 1.0 4 159
