# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
43 -0.25536787509918213 -0.3047652244567871 2.728609323501587 255 255 255 1.0 25 0 26 0
44 -0.25235211849212646 -0.08903201669454575 2.7359707355499268 255 255 255 1.0 25 0 26 0
45 -0.25286558270454407 -0.4666028618812561 2.724231243133545 255 255 255 1.0 25 0 26 0
46 -0.25307929515838623 -0.4586541950702667 2.727001667022705 255 255 255 1.0 25 0 26 0
47 -0.2547929286956787 -0.5629053711891174 2.7433054447174072 255 255 255 1.0 25 0 26 0
48 -0.2547929286956787 -0.5629053711891174 2.7433054447174072 255 255 255 1.0 25 0 26 0
49 -0.2517003118991852 -0.4874518811702728 2.73675537109375 255 255 255 1.0 25 0 26 0
50 -0.24859657883644104 -0.3086226284503937 2.726972818374634 255 255 255 1.0 25 0 26 0
51 -0.24859657883644104 -0.3086226284503937 2.726972818374634 255 255 255 1.0 25 0 26 0
52 -0.2511512041091919 -0.5483852624893188 2.7440459728240967 255 255 255 1.0 25 0 26 0
53 -0.25002411007881165 -0.5359699130058289 2.7434520721435547 255 255 255 1.0 25 0 26 0
54 -0.24689382314682007 -0.5639272928237915 2.7490475177764893 255 255 255 1.0 25 0 26 0
55 -0.24320977926254272 -0.3187943696975708 2.7299880981445312 255 255 255 1.0 25 0 26 0
56 -0.2434331178665161 -0.1907891184091568 2.7422893047332764 255 255 255 1.0 25 0 26 0
57 -0.2420700639486313 -0.09419160336256027 2.7333545684814453 255 255 255 1.0 25 0 26 0
58 -0.24195455014705658 -0.3082555830478668 2.7336509227752686 255 255 255 1.0 25 0 26 0
59 -0.24195455014705658 -0.3082555830478668 2.7336509227752686 255 255 255 1.0 25 0 26 0
60 -0.23793937265872955 -0.4070647656917572 2.7371163368225098 255 255 255 1.0 25 0 26 0
61 -0.23652201890945435 -0.23849238455295563 2.7413854598999023 255 255 255 1.0 25 0 26 0
62 -0.22861163318157196 -0.4481086730957031 2.7415108680725098 255 255 255 1.0 25 0 26 0
63 -0.22890432178974152 -0.4799070656299591 2.7447457313537598 255 255 255 1.0 25 0 26 0
64 -0.22416508197784424 -0.12970486283302307 2.7306463718414307 255 255 255 1.0 25 0 26 0
65 -0.22416508197784424 -0.12970486283302307 2.7306463718414307 255 255 255 1.0 25 0 26 0
66 -0.22074393928050995 -0.1666785627603531 2.7350330352783203 255 255 255 1.0 25 0 26 0
67 -0.21949134767055511 -0.09954044967889786 2.726835012435913 255 255 255 1.0 25 0 26 0
68 -0.22029729187488556 -0.17971767485141754 2.739262104034424 255 255 255 1.0 25 0 26 0
69 -0.22007760405540466 -0.30513280630111694 2.7346651554107666 255 255 255 1.0 25 0 26 0
70 -0.21945802867412567 -0.3150709569454193 2.73606014251709 255 255 255 1.0 25 0 26 0
71 -0.2206924557685852 -0.617260754108429 2.7642862796783447 255 255 255 1.0 25 0 26 0
72 -0.21238605678081512 -0.2938013970851898 2.7385804653167725 255 255 255 1.0 25 0 26 0
73 -0.20889587700366974 -0.3276963233947754 2.742286205291748 255 255 255 1.0 25 0 26 0
74 -0.20721130073070526 -0.175944983959198 2.7378482818603516 255 255 255 1.0 25 0 26 0
75 -0.20572514832019806 0.21349236369132996 2.7686924934387207 255 255 255 1.0 25 0 26 0
76 -0.20460763573646545 -0.16162240505218506 2.7348506450653076 255 255 255 1.0 25 0 26 0
77 -0.20271925628185272 -0.14313647150993347 2.7314136028289795 255 255 255 1.0 25 0 26 0
78 -0.19820429384708405 -0.10239025205373764 2.7269582748413086 255 255 255 1.0 25 0 26 0
79 -0.20107819139957428 -0.37783217430114746 2.7542548179626465 255 255 255 1.0 25 0 26 0
80 -0.20107819139957428 -0.37783217430114746 2.7542548179626465 255 255 255 1.0 25 0 26 0
81 -0.2005966752767563 -0.2798778712749481 2.7588868141174316 255 255 255 1.0 25 0 26 0
82 -0.1978166103363037 -0.30852010846138 2.7443041801452637 255 255 255 1.0 25 0 26 0
